"Product","Category","Setting","Scope","Status","Current","Expected","Recommendation","Reference"
"Defender for Cloud","Defender plans","Plan: CloudPosture","Subscription 25494f31-7844-41be-adea-878e396905ad","Red","Free","Standard","Turn on the CloudPosture plan in Defender for Cloud > Environment settings > Defender plans.",""
"Defender for Cloud","Defender plans","Plan: VirtualMachines","Subscription 25494f31-7844-41be-adea-878e396905ad","Green","Standard (P2)","Standard","No action required.",""
"Defender for Cloud","Defender plans","Plan: StorageAccounts","Subscription 25494f31-7844-41be-adea-878e396905ad","Green","Standard (DefenderForStorageV2)","Standard","No action required.",""
"Defender for Cloud","Defender plans","Plan: SqlServers","Subscription 25494f31-7844-41be-adea-878e396905ad","Red","Free","Standard","Turn on the SqlServers plan in Defender for Cloud > Environment settings > Defender plans.",""
"Defender for Cloud","Defender plans","Plan: SqlServerVirtualMachines","Subscription 25494f31-7844-41be-adea-878e396905ad","Red","Free","Standard","Turn on the SqlServerVirtualMachines plan in Defender for Cloud > Environment settings > Defender plans.",""
"Defender for Cloud","Defender plans","Plan: KeyVaults","Subscription 25494f31-7844-41be-adea-878e396905ad","Red","Free","Standard","Turn on the KeyVaults plan in Defender for Cloud > Environment settings > Defender plans.",""
"Defender for Cloud","Defender plans","Plan: Dns","Subscription 25494f31-7844-41be-adea-878e396905ad","Red","Free","Standard","Turn on the Dns plan in Defender for Cloud > Environment settings > Defender plans.",""
"Defender for Cloud","Defender plans","Plan: Arm","Subscription 25494f31-7844-41be-adea-878e396905ad","Red","Free","Standard","Turn on the Arm plan in Defender for Cloud > Environment settings > Defender plans.",""
"Defender for Cloud","Defender plans","Plan: Containers","Subscription 25494f31-7844-41be-adea-878e396905ad","Green","Standard","Standard","No action required.",""
"Defender for Cloud","Defender plans","Plan: OpenSourceRelationalDatabases","Subscription 25494f31-7844-41be-adea-878e396905ad","Red","Free","Standard","Turn on the OpenSourceRelationalDatabases plan in Defender for Cloud > Environment settings > Defender plans.",""
"Defender for Cloud","Defender plans","Plan: CosmosDbs","Subscription 25494f31-7844-41be-adea-878e396905ad","Green","Standard","Standard","No action required.",""
"Defender for Cloud","Defender plans","Plan: AppServices","Subscription 25494f31-7844-41be-adea-878e396905ad","Red","Free","Standard","Turn on the AppServices plan in Defender for Cloud > Environment settings > Defender plans.",""
"Defender for Cloud","Defender plans","Plan: Api","Subscription 25494f31-7844-41be-adea-878e396905ad","Red","Free","Standard","Turn on the Api plan in Defender for Cloud > Environment settings > Defender plans.",""
"Defender for Cloud","Notifications","Security contact configured","Subscription 25494f31-7844-41be-adea-878e396905ad","Gray","Could not read security contacts","At least one contact with alert notifications on","Check permissions on Microsoft.Security/securityContacts.",""
"Defender for Cloud","Integrations","Defender for Cloud Apps integration","Subscription 25494f31-7844-41be-adea-878e396905ad","Green","Enabled = True","Enabled","Enable under Defender for Cloud > Environment settings > Integrations so signals flow into the XDR portal.",""
"Defender for Cloud","Integrations","Defender for Endpoint integration","Subscription 25494f31-7844-41be-adea-878e396905ad","Green","Enabled = True","Enabled","Enable under Defender for Cloud > Environment settings > Integrations so signals flow into the XDR portal.",""
"Defender for Cloud","Integrations","MDE Linux onboarding","Subscription 25494f31-7844-41be-adea-878e396905ad","Red","Enabled = False","Enabled","Enable under Defender for Cloud > Environment settings > Integrations so signals flow into the XDR portal.",""
"Defender for Cloud","Integrations","WDATP_UNIFIED_SOLUTION","Subscription 25494f31-7844-41be-adea-878e396905ad","Green","Enabled = True","Enabled","Enable under Defender for Cloud > Environment settings > Integrations so signals flow into the XDR portal.",""
